,article_url,author,author_url,category,count,date_time,date_time_all,date_time_first,domain,entity,excerpt,image_url,source_id,text,title
0,https://cryptoslate.com/top-defi-coins-yearn-finance-yfi-and-aave-rip-10-higher-as-bitcoin-holds-13k/,Nick Chong,,,1.0,2020-10-25 01:51:54.451111,[Timestamp('2020-10-25 01:51:54.451111')],,cryptoslate,Aave,The past seven days have actually been quite mediocre for top coins in the decentralized finance (DeFi) space. ,,post-174596,Top DeFi coins Yearn.finance (YFI) and AAVE rip 10% higher as Bitcoin holds $13k The past seven days have actually been quite mediocre for top coins in the decentralized finance (DeFi) space. ,Top DeFi coins Yearn.finance (YFI) and AAVE rip 10% higher as Bitcoin holds $13k
1,https://cryptoslate.com/this-user-lost-1m-of-top-defi-coin-aave-aave-by-accident-heres-why/,Nick Chong,,,1.0,2020-10-18 01:51:54.451338,[Timestamp('2020-10-18 01:51:54.451338')],,cryptoslate,Aave,"Just recently, top Ethereum decentralized finance project Aave began transitioning its native token LEND to a new token called AAVE. ",,post-174328,"This user lost $1m of top DeFi coin Aave (AAVE) by accident: here’s why Just recently, top Ethereum decentralized finance project Aave began transitioning its native token LEND to a new token called AAVE. ",This user lost $1m of top DeFi coin Aave (AAVE) by accident: here’s why
2,https://cryptoslate.com/yearn-finance-yfi-price-rallies-towards-20000-following-aave-listing/,Cole Petersen,,,1.0,2020-09-02 01:51:54.451535,[Timestamp('2020-09-02 01:51:54.451535')],,cryptoslate,Aave,Yearn.finance (YFI) has been one of the most successful protocols within the DeFi sector in terms of sheer growth over the past few months. ,,post-171074,"Yearn.finance (YFI) price rallies towards $20,000 following Aave listing Yearn.finance (YFI) has been one of the most successful protocols within the DeFi sector in terms of sheer growth over the past few months. ","Yearn.finance (YFI) price rallies towards $20,000 following Aave listing"
3,https://cryptoslate.com/aave-lend-becomes-first-ethereum-defi-token-to-hit-1-billion-valuation/,Nick Chong,,,1.0,2020-09-02 01:51:54.451728,[Timestamp('2020-09-02 01:51:54.451728')],,cryptoslate,Aave,"A year or two ago, most decentralized finance (DeFi) protocols and their respective tokens were unknown. ",,post-171002,"Aave (LEND) becomes first Ethereum DeFi token to hit $1 billion valuation A year or two ago, most decentralized finance (DeFi) protocols and their respective tokens were unknown. ",Aave (LEND) becomes first Ethereum DeFi token to hit $1 billion valuation
4,https://cryptoslate.com/undercollaterized-loans-come-to-defi-project-aave-lend/,Shaurya Malwa,,,1.0,2020-07-04 01:51:55.269947,[Timestamp('2020-07-04 01:51:55.269947')],,cryptoslate,Aave,"Just when you thought DeFi couldn’t get crazier, there’s now a method to burrow loans on zero capital. ",,post-138723,"Undercollaterized loans come to DeFi project Aave (LEND) Just when you thought DeFi couldn’t get crazier, there’s now a method to burrow loans on zero capital. ",Undercollaterized loans come to DeFi project Aave (LEND)
0,https://cryptoslate.com/heres-why-basic-attention-tokens-on-chain-metrics-are-exploding-as-gemini-prepares-listing/,Ali Martinez,,,1.0,2020-04-05 01:52:18.722235,[Timestamp('2020-04-05 01:52:18.722235')],,cryptoslate,Basic Attention Token,Gemini announced that it will be listing Basic Attention Token to its retail platform for United States cryptocurrency investors. ,,post-129957,Here’s why Basic Attention Token’s on-chain metrics are exploding as Gemini prepares listing Gemini announced that it will be listing Basic Attention Token to its retail platform for United States cryptocurrency investors. ,Here’s why Basic Attention Token’s on-chain metrics are exploding as Gemini prepares listing
1,https://cryptoslate.com/basic-attention-token-jumps-11-as-binance-futures-launches-bat-perpetual-contracts/,Ali Martinez,,,1.0,2020-02-05 01:52:18.722458,[Timestamp('2020-02-05 01:52:18.722458')],,cryptoslate,Basic Attention Token,Binance announced the introduction of a new Basic Attention Token derivative product. ,,post-125337,Basic Attention Token jumps 11% as Binance Futures launches BAT perpetual contracts Binance announced the introduction of a new Basic Attention Token derivative product. ,Basic Attention Token jumps 11% as Binance Futures launches BAT perpetual contracts
0,https://cryptoslate.com/this-newly-launched-crypto-token-just-pumped-1000-following-binance-listing/,Cole Petersen,,,1.0,2020-10-25 01:52:24.519744,[Timestamp('2020-10-25 01:52:24.519744')],,cryptoslate,Binance,"As the DeFi market’s momentum continues stagnating, return hungry crypto investors have been flocking to presales and new token listings to try to garner massive profits in a short amount of time. ",,post-174575,"This newly launched crypto token just pumped 1000% following Binance listing As the DeFi market’s momentum continues stagnating, return hungry crypto investors have been flocking to presales and new token listings to try to garner massive profits in a short amount of time. ",This newly launched crypto token just pumped 1000% following Binance listing
1,https://cryptoslate.com/top-binance-traders-flip-long-on-ethereum-as-market-structure-grows-strong/,Cole Petersen,,,1.0,2020-09-02 01:52:24.520153,[Timestamp('2020-09-02 01:52:24.520153')],,cryptoslate,Binance,"Ethereum has shaken off the intense weakness it expressed throughout the day yesterday, with the cryptocurrency’s bulls now flexing immense signs of strength as its price pushes up towards the key resistance at $380. ",,post-171986,"Top Binance traders flip long on Ethereum as market structure grows strong Ethereum has shaken off the intense weakness it expressed throughout the day yesterday, with the cryptocurrency’s bulls now flexing immense signs of strength as its price pushes up towards the key resistance at $380. ",Top Binance traders flip long on Ethereum as market structure grows strong
2,https://cryptoslate.com/binance-chain-is-getting-its-own-defi-yield-farms-after-ethereum/,Nick Chong,,,1.0,2020-09-02 01:52:24.520339,[Timestamp('2020-09-02 01:52:24.520339')],,cryptoslate,Binance,"For the past few months, decentralized finance (DeFi) has blown up. ",,post-171892,"Binance Chain is getting its own DeFi yield farms after Ethereum For the past few months, decentralized finance (DeFi) has blown up. ",Binance Chain is getting its own DeFi yield farms after Ethereum
3,https://cryptoslate.com/tellor-trb-secures-coveted-binance-listing-as-oracle-bull-run-continues/,Cole Petersen,,,1.0,2020-09-02 01:52:24.520525,[Timestamp('2020-09-02 01:52:24.520525')],,cryptoslate,Binance,"The DeFi sector’s massive growth in recent weeks has given rise to other fragments of the crypto market, with decentralized finance’s reliance on oracles driving investor demand to these types of projects. ",,post-171021,"Tellor (TRB) secures coveted Binance listing as oracle bull run continues The DeFi sector’s massive growth in recent weeks has given rise to other fragments of the crypto market, with decentralized finance’s reliance on oracles driving investor demand to these types of projects. ",Tellor (TRB) secures coveted Binance listing as oracle bull run continues
4,https://cryptoslate.com/binance-ceo-has-an-explanation-for-a-possible-tiktok-driven-altseason/,Shaurya Malwa,,,1.0,2020-07-04 01:52:25.377094,[Timestamp('2020-07-04 01:52:25.377094')],,cryptoslate,Binance,Cryptocurrencies are not the first thing on one’s mind when they hear about TikTok. ,,post-138736,Binance CEO has an explanation for a possible TikTok-driven altseason Cryptocurrencies are not the first thing on one’s mind when they hear about TikTok. ,Binance CEO has an explanation for a possible TikTok-driven altseason
5,https://cryptoslate.com/binance-gets-the-third-ever-crypto-emoji-on-twitter-following-crypto-com-and-bitcoin/,Priyeshu Garg,,,1.0,2020-07-04 01:52:25.377319,[Timestamp('2020-07-04 01:52:25.377319')],,cryptoslate,Binance,"Binance, one of the largest crypto exchanges in the world, has officially received the third ever branded Twitter emoji in the industry, after Bitcoin and Crypto dot com. ",,post-138087,"Binance gets the third-ever crypto emoji on Twitter, following Crypto.com and Bitcoin Binance, one of the largest crypto exchanges in the world, has officially received the third ever branded Twitter emoji in the industry, after Bitcoin and Crypto dot com. ","Binance gets the third-ever crypto emoji on Twitter, following Crypto.com and Bitcoin"
6,https://cryptoslate.com/digibyte-dgb-sees-its-price-surge-35-after-binance-listing/,Priyeshu Garg,,,1.0,2020-07-04 01:52:25.377510,[Timestamp('2020-07-04 01:52:25.377510')],,cryptoslate,Binance,Blockchain network Digibyte (DGB) has seen the price of its native token DGB skyrocket after it was listed on Binance earlier today. ,,post-137302,DigiByte (DGB) sees its price surge 35% after Binance listing Blockchain network Digibyte (DGB) has seen the price of its native token DGB skyrocket after it was listed on Binance earlier today. ,DigiByte (DGB) sees its price surge 35% after Binance listing
7,https://cryptoslate.com/binance-uk-set-to-go-live-this-summer-with-fiat-onboarding-in-gbp-and-eur/,Priyeshu Garg,,,1.0,2020-06-04 01:52:25.377695,[Timestamp('2020-06-04 01:52:25.377695')],,cryptoslate,Binance,"Binance, one of the largest cryptocurrency exchanges in the world, will be launching a United Kingdom platform this summer. ",,post-136829,"Binance UK set to go live this summer with fiat onboarding in GBP and EUR Binance, one of the largest cryptocurrency exchanges in the world, will be launching a United Kingdom platform this summer. ",Binance UK set to go live this summer with fiat onboarding in GBP and EUR
8,https://cryptoslate.com/metrics-show-80-percent-of-stablecoins-like-tether-and-binance-usd-are-held-by-only-six-accounts/,Shaurya Malwa,,,1.0,2020-06-04 01:52:25.377883,[Timestamp('2020-06-04 01:52:25.377883')],,cryptoslate,Binance,"Long touted as an alternative to fiat currencies without the volatility of digital assets like Bitcoin, stablecoins and related companies mushroomed in late-2018; with a lot of projects even getting venture funded. ",,post-136224,"Metrics show 80 percent of stablecoins like Tether and Binance USD are held by only six accounts Long touted as an alternative to fiat currencies without the volatility of digital assets like Bitcoin, stablecoins and related companies mushroomed in late-2018; with a lot of projects even getting venture funded. ",Metrics show 80 percent of stablecoins like Tether and Binance USD are held by only six accounts
9,https://cryptoslate.com/binance-research-to-reinvent-site-integrating-new-crypto-data-tools-from-intotheblock/,Cole Petersen,,,1.0,2020-06-04 01:52:25.378070,[Timestamp('2020-06-04 01:52:25.378070')],,cryptoslate,Binance,"Binance Research – the analytics division of cryptocurrency exchange Binance – is moving to reinvent their website, partnering with the Miami-based data visualization platform IntoTheBlock (ITB) to offer the crypto market with deep insights into on-chain data. ",,post-134131,"Binance Research to reinvent site, integrating new crypto data tools from IntoTheBlock Binance Research – the analytics division of cryptocurrency exchange Binance – is moving to reinvent their website, partnering with the Miami-based data visualization platform IntoTheBlock (ITB) to offer the crypto market with deep insights into on-chain data. ","Binance Research to reinvent site, integrating new crypto data tools from IntoTheBlock"
